Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Agricultural land (sq. km),AG.LND.AGRI.K2,Eswatini,SWZ,12380,12230,12220,12220,12220,12220,12220,12220,12220,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ethiopia,ETH,563120,306620,364880,366990,369100,371210,373320,375401,379030,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Faroe Islands,FRO,30,30,30,30,30,30,30,30,30,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Fiji,FJI,4100,4280,4250,4250,4250,4250,4250,4250,4250,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Finland,FIN,23930,22180,22851,22585,22671,22734,22750,22700,22720,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,France,FRA,305928,298074,288448,287737,287665,287269,287180.21,286974.99,286601,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,French Polynesia,PYF,430,430,455,455,455,455,455,455,455,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Gabon,GAB,20053.8,20670,21413.54,21532.36,21651.18,21770,21888.8,22007.6,22126.4,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Gambia, The",GMB,5860,5520,6050,6050,6050,6050,6050,6050,6050,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Georgia,GEO,..,30000,24350,24861,24160,24181,23940,23848,23718,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Germany,DEU,180320,170680,166640,166970,167250,167310,166570,166870,166450,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ghana,GHA,126050,139053.9,148360.66,148485.64,148610.62,148735.6,148317.6,147899.6,147827.4,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Greece,GRC,92220,85290,72830,71530,62010,61990,61360,61020,61036,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Greenland,GRL,2368,2398,2434,2430.7,2430.8,2431,2431.1,2431.1,2431.1,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Grenada,GRD,130,120,80,80,80,80,80,80,80,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guam,GUM,200,200,180,180,180,180,180,180,180,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guatemala,GTM,42850,44650,38091.6,37207,37938,38560,38560,38560,38560,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guinea,GIN,141410,134890,144000,145000,145000,145000,145000,145000,145000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guinea-Bissau,GNB,14470,6631.2,7644.58,7729.02,7813.46,7897.9,7982.3,8066.7,8151.1,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Guyana,GUY,10828.5,11207.8,11885.7,12002.6,12119.5,12236.4,12328.4,12420.5,12512.5,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Haiti,HTI,15970,16900,17700,18400,18400,18400,18400,18400,18400,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Honduras,HND,33200,29350,33200,33200,33200,33200,33200,33500,33560,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Hong Kong SAR, China",HKG,80,70,51,51,51,51,50,51,50,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Hungary,HUN,64740,58540,53380,52570,52640,52640,52820,53030,52960,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Iceland,ISL,19010,18890,18722,18722,18722,18720,18720,18720,18720,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,India,IND,1814130,1809750,1796420,1796980,1797210,1796740,1796740,1796740,1796740,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Indonesia,IDN,450830,471770,565000,570000,570000,573000,602000,623000,623000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Iran, Islamic Rep.",IRN,615000,628840,462458,459540,459540,459540,459540,459540,459540,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Iraq,IRQ,92300,83000,85685,88637.5,92690,92500,92500,92500,92500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Ireland,IRL,56490,44120,45330,44770,44660,44300,44610,44890,45160,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Isle of Man,IMN,396,438,384,388,389,404,406,391,403,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Israel,ISR,5790,5660,5262,5203,5377,5339,5320,6230,6233,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Italy,ITA,168400,156370,137290,136300,131620,129450,128120,128265.7,124050,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Jamaica,JAM,4760,4790,4440,4440,4440,4440,4440,4440,4440,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Japan,JPN,56930,52580,45490,45380,45180,44960,44710,44440,44200,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Jordan,JOR,10402,10690,10449,10566,10640,10563,10659.6,10070,10218,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kazakhstan,KAZ,..,2153933,2170121,2169941,2167994,2162597,2162421,2162138,2160365,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kenya,KEN,267700,266710,277300,276300,276300,276300,276300,276300,276300,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kiribati,KIR,390,340,340,340,340,340,340,340,340,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Korea, Dem. People's Rep.",PRK,25180,25500,26300,26300,26300,26300,26300,26300,26300,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Korea, Rep.",KOR,21790,19730,17880,17687,17483,17360,17008,16767,16520,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kuwait,KWT,1410,1480,1520,1536,1521,1494,1500,1514,1500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Kyrgyz Republic,KGZ,..,107140,105913,105567,105571,105562,105411,105401,105413,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lao PDR,LAO,16600,18060,22990,23350,24400,24940,24940,24440,23940,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Latvia,LVA,..,15880,18410,18770,18720,18845,19310,19330,19380,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lebanon,LBN,6050,5950,6580,6580,6580,6580,6580,6580,6580,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lesotho,LSO,23210,23340,22853,22521,22763,22230,23560,24180,24333,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Liberia,LBR,24930,14093.6,17724.8,18027.4,18330,18632.6,18935.2,19237.8,19540.4,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Libya,LBY,154550,154500,153550,153550,153500,153500,153500,153500,153500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Liechtenstein,LIE,70,70,60,56,53.2,51.6,51.6,51.6,51.6,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Lithuania,LTU,..,34180,28422,28914,29524,30059,29539,29353,29470,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Luxembourg,LUX,..,1280,1314.2,1308.8,1309.9,1312.7,1306.51,1311.58,1315.59,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Madagascar,MDG,363250,405000,408950,408950,408950,408950,408950,408950,408950,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malawi,MWI,42180,47300,55850,56000,56500,56500,56500,56500,56500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malaysia,MYS,67566,69387,78292,80593,80890,85699.7,85710,85710,85710,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Maldives,MDV,80,90,79,79,79,79,79,79,79,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mali,MLI,321280,386000,416510,412010,412010,412010,412010,412010,412010,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Malta,MLT,130,90,103,102.3,102.3,102.3,103.8,103.8,103.8,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Marshall Islands,MHL,..,120,120,86,86,86,86,86,86,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mauritania,MRT,396560,397500,396610,396610,396610,396610,396610,396610,396610,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mauritius,MUS,1110,1010,870,860,860,860,860,860,860,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mexico,MEX,1051510,1063300,1021380,1015860,1014070,1032120,1049920,1069640,1068910,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Micronesia, Fed. Sts.",FSM,..,225,220,220,220,220,220,220,220,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Moldova,MDA,..,25440,24600,24610,23150,23180,23179,23173,22571,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mongolia,MNG,1256560,1304700,1140679.033,1140302.8,1136820,1136644.1,1135607.9,1134671.9,1134330,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Montenegro,MNE,..,..,5130,2231.3,2303.2,2314,2557,2563,2568,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Morocco,MAR,303430,306520,304030,305850,300825,300470,301000,300690,300690,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Mozambique,MOZ,352600,374500,400787.16,402851.44,404915.72,406980,410097.1,412314,414138.32,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Myanmar,MMR,104280,108120,125490,125870,126320,127489.999,127600,128707,128890,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Namibia,NAM,386620,388200,388090,388090,388090,388090,388100,388100,388100,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nauru,NRU,4,4,4,4,4,4,4,4,4,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nepal,NPL,41444,42491,41210,41210,41210,41210,41210,41210,41210,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Netherlands,NLD,20060,19560,18417,18476,18391,18460,18150,18190,18220,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,New Caledonia,NCL,2320,2450,1840.34,1837.3,1837.3,1840.3,1840.3,1840.3,1840.3,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,New Zealand,NZL,161820,154130,112094,111060,111160,107120,106140,106440,104670,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nicaragua,NIC,40250,51410,51030,50650,50650,50650,50650,50650,50650,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Niger,NER,330470,370000,447820,456820,456820,456970,463970,466000,466000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Nigeria,NGA,615860,661839.6,681436.32,683069.38,684702.44,686335.5,687968.521,689601.5,691234.5,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,North Macedonia,MKD,..,12350,12670,12600,12610,12620,12650,12660,12640,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Northern Mariana Islands,MNP,..,30,30,30,30,30,30,30,30,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Norway,NOR,9760,10420,9928,9871.428,9867.6,9860.3,9836.7,9851.1,9862.97,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Oman,OMN,10800,11730,14238,14195,14198,14340,14360,14519.2,14588.9,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Pakistan,PAK,352060,366980,360630,362800,362520,362020,367940,370030,363000,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Palau,PLW,..,43,43,43,43,43,43,43,43,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Panama,PAN,21240,22300,22590,22590,22590,22590,22590,22590,22590,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Papua New Guinea,PNG,8770,10050,11900,11900,11900,11900,11900,11900,11900,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Paraguay,PRY,141841.4,167383.5,209882.98,214025.52,217480,219530,217490,217380,218190,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Peru,PER,218360,231240,243321,243740,237790,233340,236870,236670,236087,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Philippines,PHL,111400,112340,124300,124400,124400,124400,124400,124400,124400,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Poland,POL,187930,184130,145290,144100,144240,143710,143740,144620,145120,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Portugal,PRT,39630,39563.8,36644.1,37011,36638.8,36387.8,36190.3,35878.014,35739.9,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Puerto Rico,PRI,4350,2472,1968,1922,1876,1830,1784,1738,1689,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Qatar,QAT,610,660,665.2,685,676,678,670,670,670,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Romania,ROU,147690,148570,137330,139050,138300,138580,135210,133780,134140,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Russian Federation,RUS,..,2171620,2154940,2154940,2154940,2154940,2154940,2154940,2154940,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Rwanda,RWA,18790,16700,18157.3,18425,18095,18117,18117,18117,18117,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Samoa,WSM,540,480,545,610,675,756.2,757,757,757,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,San Marino,SMR,10,10,10,10,10,23,23,23,23,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sao Tome and Principe,STP,420,490,440,440,440,440,440,440,440,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Saudi Arabia,SAU,1234810,1737850,1733450,1732950,1735753,1736354,1736190,1736292,1736290,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Senegal,SEN,88690,90270,89650,88680,88720,88730,88780,88780,88780,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Serbia,SRB,..,..,34626,34912,35064,34810,34560,34190,34640,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Seychelles,SYC,40,40,15,15.5,15.5,15.5,15.5,15.5,15.5,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sierra Leone,SLE,28250,28100,38366.5,39486.5,39490,39490,39490,39490,39490,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Singapore,SGP,20,12,7.3,6.7,6.6,6.6,6.6,6.6,6.6,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Slovak Republic,SVK,..,24400,19274,18934,18894,18886,18860,18790,18890,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Slovenia,SVN,..,5180,6117.9,6102.1,6148.4,6164.9,6174.8,6150.4,6120,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Solomon Islands,SLB,680,760,1110,1110,1115,1130,1140,1170,1170,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Somalia,SOM,440420,440670,440250,441250,441250,441250,441250,441250,441250,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,South Africa,ZAF,956000,981250,963410,963410,963410,963410,963410,963410,963410,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,South Sudan,SSD,..,..,285332,285332,285332,285332,285332,285332,285332,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Spain,ESP,304720,297660,269420,267332,265780,265765,262657,262955.3,261833.239,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sri Lanka,LKA,23390,23500,26900,27400,27400,27400,27500,27602,28116,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Kitts and Nevis,KNA,120,95,60,60,60,60,60,60,60,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Lucia,LCA,209,142,106,106,106,106,106,106,106,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,St. Vincent and the Grenadines,VCT,105.8,70,70,70,70,70,70,70,70,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sudan,SDN,..,..,682071.6,681945.6,681861.6,681861.6,681861.6,681861.6,681861.6,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Suriname,SUR,880,880,732,832,882,870,870,840,840,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Sweden,SWE,34130,31530,30486,30479,30327,30398,30315,30210,30090,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Switzerland,CHE,16057,15660,15287,15248.795,15219.027,15189.336,15159.731,15129.99,15100.756,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Syrian Arab Republic,SYR,134950,137110,139210,139210,139210,139210,139210,139210,139210,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Tajikistan,TJK,..,45730,47490,47462,47417,47383,47335,47401,47277,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Tanzania,TZA,311899.9,340000,393739.94,396500,396500,396500,396500,396500,396500,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Thailand,THA,213830,198340,218600,221100,221100,221100,221100,221100,221100,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Timor-Leste,TLS,3180,3370,3840,3800,3800,3800,3800,3800,3800,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Togo,TGO,31900,36300,38500,38200,38200,38200,38200,38200,38200,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Tonga,TON,320,300,330,330,340,350,350,350,350,..,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Trinidad and Tobago,TTO,770,670,540,540,540,540,540,540,540,..,..,..
